brand,item_id,gross_item_value,order_date,order_datetime,product_id,order_id,customer_id,product_group,country,state
Brand 3,17037363,24.93,1/1/2024,2024-01-01T17:01:46.857000,14346,2994464,1.82e+18,Category 2,Us,Wa
Brand 2,3793837,3.14,1/1/2024,2024-01-01T19:58:45,651,753464,6.1e+18,Category 8,Us,Wi
Brand 2,3793022,6.36,1/1/2024,2024-01-01T09:42:27,49,753306,8.33e+17,Category 3,Us,Fl
Brand 6,17037544,30.44,1/1/2024,2024-01-01T18:02:45.413000,20188,2994491,5.66e+18,Category 8,Us,Tx
Brand 2,3793605,5.71,1/1/2024,2024-01-01T16:23:07,396,753408,1.34e+18,Category 8,Us,Tx
Brand 1,1370368,3.84,1/1/2024,2024-01-01T02:17:55,459,1229682,8.47e+18,Category 8,Us,Wi
Brand 1,1371240,35.27,1/1/2024,2024-01-01T20:29:49,2000,1229869,3.27e+18,Category 3,Us,Sc
Brand 2,3792846,4.54,1/1/2024,2024-01-01T00:56:00,397,753275,5.97e+18,Category 3,Us,Wi
Brand 3,17037448,42.45,1/1/2024,2024-01-01T17:46:12.043000,4660,2994486,5.52e+18,Category 9,Us,Oh
Brand 3,17037658,10.1,1/1/2024,2024-01-01T19:33:21.190000,13907,2994515,4.64e+18,Category 8,Us,Wv
Brand 5,17036755,95.5,1/1/2024,2024-01-01T03:00:01.683000,20850,2994328,6.32e+18,Category 4,Us,Tx
Brand 2,3793889,19.71,1/1/2024,2024-01-01T20:21:30,649,753469,3.72e+18,Category 8,Us,Tx
Brand 3,17037426,41.98,1/1/2024,2024-01-01T17:32:12.497000,4660,2994481,8.71e+18,Category 9,Us,Va
Brand 1,1370900,89.87,1/1/2024,2024-01-01T16:14:00,178,1229789,6.66e+18,Category 8,Us,Va
Brand 3,17037392,6.43,1/1/2024,2024-01-01T17:15:20.073000,1139,2994471,6.05e+18,Category 8,Us,Tx
Brand 6,17037855,3.71,1/1/2024,2024-01-01T21:00:15.263000,20052,2994544,4.17e+18,Category 8,Us,Wy
Brand 1,1371179,3.75,1/1/2024,2024-01-01T19:41:50,156,1229858,3.89e+18,Category 8,Us,Ut
Brand 3,17036945,15.93,1/1/2024,2024-01-01T11:19:40.793000,3212,2994371,5.95e+18,Category 8,Us,Tx
Brand 6,17037589,3.89,1/1/2024,2024-01-01T18:24:38.840000,20045,2994502,9.06e+18,Category 8,Us,Tx
Brand 2,3793752,4.4,1/1/2024,2024-01-01T18:31:24,568,753442,4.79e+18,Category 8,Us,Wa
Brand 3,17036758,27.58,1/1/2024,2024-01-01T03:26:57.627000,2890,2994330,4.28e+18,Category 8,Us,Wi
Brand 6,17037558,25.54,1/1/2024,2024-01-01T18:08:31.517000,20100,2994494,7.77e+18,Category 8,Us,Tx
Brand 3,17037896,7.81,1/1/2024,2024-01-01T21:20:05.303000,14289,2994553,2.3e+18,Category 2,Us,Wv
Brand 2,3792877,2.9,1/1/2024,2024-01-01T01:28:22,74,753279,1e+18,Category 3,Us,Tx
Brand 4,17037207,24.17,1/1/2024,2024-01-01T14:48:26.927000,16096,2994428,4.54e+18,Category 8,Us,Vt
Brand 3,17037785,22.6,1/1/2024,2024-01-01T20:14:51.777000,686,2994532,5.68e+18,Category 8,Us,Tx
Brand 6,17036958,17.73,1/1/2024,2024-01-01T11:21:32.370000,19985,2994373,5.55e+18,Category 8,Us,Tn
Brand 2,3793923,3.19,1/1/2024,2024-01-01T21:04:51,257,753474,7.66e+18,Category 8,Us,Tx
Brand 3,17037985,14.13,1/1/2024,2024-01-01T22:01:19.233000,8626,2994567,1.2e+18,Category 6,Us,Wi
Brand 2,3793863,11.51,1/1/2024,2024-01-01T19:58:45,1139,753464,6.1e+18,Category 8,Us,Wi
Brand 1,1371038,44.72,1/1/2024,2024-01-01T18:10:48,1130,1229825,3.1e+18,Category 8,Us,Wi
Brand 3,17036992,39.9,1/1/2024,2024-01-01T11:57:56.347000,6535,2994382,8.87e+18,Category 5,Us,Wv
Brand 2,3793864,2.99,1/1/2024,2024-01-01T19:58:45,531,753464,6.1e+18,Category 8,Us,Wi
Brand 3,17037632,19.64,1/1/2024,2024-01-01T19:27:01.650000,5266,2994511,2.94e+18,Category 6,Us,Tn
Brand 2,3793157,3.23,1/1/2024,2024-01-01T12:12:41,1161,753331,4.28e+18,Category 8,Us,Wi
Brand 3,17037035,5.66,1/1/2024,2024-01-01T12:33:22.047000,11104,2994390,9.93e+16,Category 2,Us,Mo
Brand 1,1371426,19.2,1/1/2024,2024-01-01T22:58:16,855,1229901,5.09e+18,Category 8,Us,Vt
Brand 1,1371388,2.52,1/1/2024,2024-01-01T22:08:47,1190,1229895,5.18e+18,Category 7,Us,Va
Brand 2,3792950,8.85,1/1/2024,2024-01-01T06:56:35,321,753292,6.72e+18,Category 8,Us,Wa
Brand 3,17036873,4.88,1/1/2024,2024-01-01T10:11:11.437000,17242,2994352,6.2e+18,Category 2,Us,Tx
Brand 2,3792900,24.13,1/1/2024,2024-01-01T01:32:39,1101,753280,1.58e+18,Category 8,Us,Tx
Brand 2,3793226,30.46,1/1/2024,2024-01-01T12:38:47,1012,753342,8.02e+18,Category 8,Us,Ms
Brand 2,3793894,0.53,1/1/2024,2024-01-01T20:21:30,164,753469,3.72e+18,Category 8,Us,Tx
Brand 2,3793175,9.74,1/1/2024,2024-01-01T12:16:45,714,753332,5.46e+18,Category 8,Us,Va
Brand 3,17036706,12.28,1/1/2024,2024-01-01T00:38:44.597000,9405,2994316,6.32e+18,Category 8,Us,Tx
Brand 1,1371450,3.37,1/1/2024,2024-01-01T23:03:22,1071,1229906,6.91e+18,Category 8,Us,Wi
Brand 2,3792883,0.17,1/1/2024,2024-01-01T01:32:39,1404,753280,1.58e+18,Category 7,Us,Tx
Brand 2,3793682,16.2,1/1/2024,2024-01-01T17:25:34,1106,753428,9.45e+17,Category 8,Us,Tx
Brand 2,3793747,35.45,1/1/2024,2024-01-01T18:21:34,371,753441,1.31e+18,Category 8,Us,Wa
Brand 3,17036933,8.3,1/1/2024,2024-01-01T11:17:26.053000,9771,2994368,6.72e+18,Category 1,Us,Wa
Brand 2,3793198,8.44,1/1/2024,2024-01-01T12:22:38,650,753335,6.63e+18,Category 8,Us,Tx
Brand 2,3793963,0.42,1/1/2024,2024-01-01T21:23:27,157,753480,1.52e+18,Category 8,Us,Tx
Brand 2,3793593,31.04,1/1/2024,2024-01-01T16:08:35,764,753406,2.69e+17,Category 8,Us,Ny
Brand 2,3793742,22.7,1/1/2024,2024-01-01T18:08:58,266,753439,5.97e+18,Category 8,Us,Wi
Brand 2,3793283,20.9,1/1/2024,2024-01-01T13:40:49,548,753354,4.29e+18,Category 8,Us,Va
Brand 2,3793835,3.11,1/1/2024,2024-01-01T19:58:45,636,753464,6.1e+18,Category 8,Us,Wi
Brand 2,3793582,21.18,1/1/2024,2024-01-01T15:53:35,164,753404,6.63e+18,Category 8,Us,Tx
Brand 3,17036976,57.62,1/1/2024,2024-01-01T11:42:59.117000,12285,2994377,7.85e+18,Category 4,Us,Wv
Brand 3,17036845,1.05,1/1/2024,2024-01-01T09:23:39.650000,14294,2994346,5.35e+18,Category 2,Us,Tx
Brand 3,17036738,57.75,1/1/2024,2024-01-01T01:23:28.320000,21872,2994323,1.43e+18,Category 10,Us,Wv
Brand 6,17038151,23.78,1/2/2024,2024-01-02T00:10:11.203000,20335,2994596,8.5e+18,Category 8,Us,Tx
Brand 3,17039575,17.01,1/2/2024,2024-01-02T17:39:05.837000,682,2994905,7.5e+18,Category 8,Us,Ny
Brand 2,3795728,0.73,1/2/2024,2024-01-02T18:24:34,957,753805,8.11e+18,Category 8,Us,Va
Brand 3,17038441,4.08,1/2/2024,2024-01-02T10:51:43.317000,7721,2994671,9.46e+17,Category 6,Us,Ny
Brand 2,3794234,26.88,1/2/2024,2024-01-02T00:50:36,909,753538,5.01e+18,Category 8,Us,Tx
Brand 3,17039735,58.68,1/2/2024,2024-01-02T18:54:24.430000,27432,2994930,3.51e+18,Category 8,Us,Tx
Brand 2,3794891,16.22,1/2/2024,2024-01-02T12:31:48,673,753654,7.25e+18,Category 8,Us,Tn
Brand 2,3795476,608.92,1/2/2024,2024-01-02T15:59:05,714,753756,4.94e+18,Category 8,Us,Va
Brand 4,17038331,5.74,1/2/2024,2024-01-02T09:35:58.557000,15771,2994645,5.5e+18,Category 8,Us,Va
Brand 3,17039433,84.85,1/2/2024,2024-01-02T17:19:03.950000,678,2994894,1.82e+18,Category 8,Us,Wa
Brand 6,17039392,20.43,1/2/2024,2024-01-02T17:03:15.370000,20260,2994884,3.64e+18,Category 8,Us,Wa
Brand 5,17039195,24.22,1/2/2024,2024-01-02T16:00:01.250000,21282,2994846,4.36e+18,Category 8,Us,Or
Brand 1,1372273,118.68,1/2/2024,2024-01-02T14:39:37,2000,1230062,5.27e+17,Category 3,Us,Oh
Brand 1,1372873,15.89,1/2/2024,2024-01-02T20:09:49,1169,1230154,1.85e+18,Category 8,Us,Wa
Brand 3,17038428,100.37,1/2/2024,2024-01-02T10:30:57.717000,7991,2994666,2.33e+18,Category 6,Us,Wi
Brand 3,17038535,10.76,1/2/2024,2024-01-02T11:27:05.030000,22384,2994691,5.61e+18,Category 8,Us,Va
Brand 1,1371697,3.83,1/2/2024,2024-01-02T06:43:50,908,1229944,3e+17,Category 8,Us,Ok
Brand 1,1372950,14.63,1/2/2024,2024-01-02T21:43:21,2096,1230173,4.76e+18,Category 8,Us,Me
Brand 2,3796173,119.25,1/2/2024,2024-01-02T22:23:18,714,753879,4.64e+18,Category 8,Us,Wv
Brand 1,1372887,12.79,1/2/2024,2024-01-02T20:25:03,784,1230158,1.09e+18,Category 8,Us,Wv
Brand 2,3794803,3.83,1/2/2024,2024-01-02T12:13:24,649,753643,4.5e+18,Category 8,Us,Tn
Brand 2,3795852,3.23,1/2/2024,2024-01-02T20:13:39,955,753833,7.45e+18,Category 8,Us,Wy
Brand 2,3795732,3.63,1/2/2024,2024-01-02T18:24:34,1399,753805,8.11e+18,Category 8,Us,Va
Brand 2,3795197,19.51,1/2/2024,2024-01-02T14:19:46,503,753711,8.45e+18,Category 8,Us,Tn
Brand 3,17039298,28.27,1/2/2024,2024-01-02T16:25:24.363000,1144,2994860,8.78e+18,Other,Us,Wa
Brand 6,17039781,10.47,1/2/2024,2024-01-02T19:17:49.097000,20359,2994939,7.12e+18,Category 8,Us,Tx
Brand 2,3795571,9.12,1/2/2024,2024-01-02T16:38:39,1073,753775,3.9e+18,Category 8,Us,Tx
Brand 2,3795080,3.48,1/2/2024,2024-01-02T13:30:30,514,753688,2.27e+18,Category 3,Us,Tn
Brand 2,3795340,20.18,1/2/2024,2024-01-02T15:23:36,864,753741,5.33e+18,Category 8,Us,Pa
Brand 2,3796232,18.67,1/2/2024,2024-01-02T22:47:34,1051,753887,2.57e+18,Category 8,Us,Va
Brand 1,1372451,19.08,1/2/2024,2024-01-02T16:19:37,731,1230092,4.67e+18,Category 8,Us,Va
Brand 3,17038336,13.26,1/2/2024,2024-01-02T09:35:58.557000,22302,2994645,5.5e+18,Category 8,Us,Va
Brand 1,1371581,83.37,1/2/2024,2024-01-02T01:21:28,817,1229923,4.24e+18,Category 6,Us,Wa
Brand 3,17039597,153.71,1/2/2024,2024-01-02T17:39:05.837000,12951,2994905,7.5e+18,Category 7,Us,Ny
Brand 2,3794530,15.62,1/2/2024,2024-01-02T09:39:37,240,753579,3.38e+18,Category 8,Us,Va
Brand 1,1372755,81.12,1/2/2024,2024-01-02T18:54:16,373,1230135,4.1e+18,Category 8,Us,Sc
Brand 1,1371980,20.52,1/2/2024,2024-01-02T11:29:35,1061,1230003,1.02e+18,Category 8,Us,Wa
Brand 3,17039236,9.17,1/2/2024,2024-01-02T16:09:26.100000,4635,2994851,5.24e+18,Category 8,Us,Tx
Brand 3,17038767,44.91,1/2/2024,2024-01-02T12:59:29.700000,6558,2994742,2.44e+18,Category 8,Us,Tx
Brand 2,3796270,0.36,1/2/2024,2024-01-02T23:27:44,712,753895,7.34e+17,Category 8,Us,Tx
Brand 2,3795515,15.62,1/2/2024,2024-01-02T16:08:43,910,753763,5.92e+18,Category 8,Us,Sd
Brand 1,1372173,11.59,1/2/2024,2024-01-02T13:34:40,1040,1230046,3.6e+18,Category 8,Us,Wa
Brand 2,3795862,3.8,1/2/2024,2024-01-02T20:18:50,1106,753836,3.82e+18,Category 8,Us,Va
Brand 4,17038284,43.01,1/2/2024,2024-01-02T09:05:27.387000,15745,2994636,7.78e+18,Category 8,Us,Ny
Brand 5,17039181,15.29,1/2/2024,2024-01-02T16:00:00.500000,20682,2994845,8.69e+17,Category 8,Us,Fl
Brand 3,17039664,124.93,1/2/2024,2024-01-02T18:20:07.073000,10901,2994918,5.91e+18,Category 7,Us,Va
Brand 3,17039602,9.36,1/2/2024,2024-01-02T17:46:23.993000,8883,2994909,7.1e+18,Category 10,Us,Wv
Brand 1,1371921,9.96,1/2/2024,2024-01-02T10:33:16,2152,1229987,6.94e+18,Category 8,Us,Tx
Brand 6,17039457,42.41,1/2/2024,2024-01-02T17:19:03.950000,20237,2994894,1.82e+18,Category 8,Us,Wa
Brand 2,3796164,13.74,1/2/2024,2024-01-02T22:22:48,943,753878,2.95e+18,Category 8,Us,Pa
Brand 2,3794303,3.45,1/2/2024,2024-01-02T01:29:31,903,753545,9.06e+18,Category 8,Us,Tx
Brand 1,1372455,48.54,1/2/2024,2024-01-02T16:19:37,642,1230092,4.67e+18,Category 8,Us,Va
Brand 2,3795256,27.34,1/2/2024,2024-01-02T14:52:16,157,753728,1.73e+18,Category 8,Us,Wa
Brand 4,17039929,3.62,1/2/2024,2024-01-02T20:34:47.403000,15168,2994973,4.78e+17,Category 8,Us,Oh
Brand 2,3795941,43.91,1/2/2024,2024-01-02T20:48:06,957,753845,6.11e+18,Category 8,Us,Tx
Brand 3,17039813,10.31,1/2/2024,2024-01-02T19:24:44.137000,22379,2994945,3.22e+18,Category 8,Us,Wy
Brand 2,3795627,10.94,1/2/2024,2024-01-02T17:18:51,1064,753786,4.61e+18,Category 8,Us,Va
Brand 3,17038541,43.05,1/2/2024,2024-01-02T11:33:19.460000,456,2994694,5.63e+18,Category 8,Us,Wv
Brand 1,1371805,18.73,1/2/2024,2024-01-02T09:55:10,902,1229973,2.48e+18,Category 8,Us,Va
Brand 4,17039417,96.9,1/2/2024,2024-01-02T17:15:54.333000,16498,2994890,6.03e+18,Category 10,Us,Tx
Brand 1,1371964,103.73,1/2/2024,2024-01-02T11:20:43,2000,1229999,4.03e+18,Category 3,Us,Oh
Brand 2,3794533,16.01,1/2/2024,2024-01-02T09:42:12,504,753580,6.73e+17,Category 8,Us,Tx
Brand 2,3794619,17.23,1/2/2024,2024-01-02T10:25:22,1326,753601,2.23e+18,Category 1,Us,Wi
Brand 2,3795407,9.93,1/2/2024,2024-01-02T15:47:38,573,753753,2.77e+18,Category 8,Us,Ut
Brand 2,3794730,0.36,1/2/2024,2024-01-02T11:44:53,909,753628,4.44e+18,Category 8,Us,Wv
Brand 2,3794952,14.17,1/2/2024,2024-01-02T12:51:09,1344,753667,5.24e+18,Category 8,Us,Tx
Brand 1,1371957,20.5,1/2/2024,2024-01-02T11:09:51,346,1229996,5.8e+18,Category 8,Us,Wi
Brand 1,1372847,20.81,1/2/2024,2024-01-02T20:05:54,598,1230152,2.37e+18,Category 8,Us,Wv
Brand 3,17038263,0.0,1/2/2024,2024-01-02T08:54:57.983000,12082,2994631,7.59e+18,Category 5,Us,Wi
Brand 6,17039934,4.79,1/2/2024,2024-01-02T20:34:47.403000,20181,2994973,4.78e+17,Category 8,Us,Oh
Brand 3,17039284,10.16,1/2/2024,2024-01-02T16:23:09.157000,13127,2994858,3.45e+18,Category 10,Us,Tx
Brand 2,3795775,12.95,1/2/2024,2024-01-02T19:13:26,277,753817,3.43e+18,Category 8,Us,Pa
Brand 1,1372304,10.47,1/2/2024,2024-01-02T14:50:32,463,1230066,1.64e+17,Category 8,Us,Wa
Brand 2,3795872,26.23,1/2/2024,2024-01-02T20:21:01,1156,753837,1.84e+17,Category 8,Us,Sc
Brand 7,17038559,1.07,1/2/2024,2024-01-02T11:33:19.460000,19621,2994694,5.63e+18,Other,Us,Wv
Brand 3,17039341,8.26,1/2/2024,2024-01-02T16:44:19.727000,3974,2994872,3.34e+18,Category 9,Us,Tx
Brand 5,17039020,360.54,1/2/2024,2024-01-02T15:00:04.427000,21005,2994809,4.49e+17,Category 9,Us,Ms
Brand 3,17039373,6.67,1/2/2024,2024-01-02T17:00:14.740000,12454,2994881,7.66e+18,Category 5,Us,Tx
Brand 3,17039235,7.97,1/2/2024,2024-01-02T16:09:26.100000,577,2994851,5.24e+18,Category 8,Us,Tx
Brand 1,1371917,13.22,1/2/2024,2024-01-02T10:33:16,807,1229987,6.94e+18,Category 8,Us,Tx
Brand 3,17038216,3.58,1/2/2024,2024-01-02T03:16:39.963000,13007,2994614,6.9e+18,Category 2,Us,Wa
Brand 3,17039645,98.37,1/2/2024,2024-01-02T18:16:44.507000,5300,2994915,4.6e+18,Category 8,Us,Wa
Brand 2,3795500,15.46,1/2/2024,2024-01-02T16:00:19,702,753759,2e+18,Category 8,Us,Tx
Brand 2,3794416,41.08,1/2/2024,2024-01-02T07:54:22,1107,753561,5.64e+18,Category 7,Us,Va
Brand 3,17038801,223.87,1/2/2024,2024-01-02T13:11:59.200000,14202,2994753,4.95e+18,Category 8,Us,Pa
Brand 2,3795014,47.77,1/2/2024,2024-01-02T13:10:44,1122,753679,4.94e+18,Category 8,Us,Va
Brand 3,17038239,16.2,1/2/2024,2024-01-02T08:21:16.463000,12075,2994624,9e+18,Category 8,Us,Wv
Brand 1,1372736,34.76,1/2/2024,2024-01-02T18:34:24,1257,1230129,6.66e+18,Category 8,Us,Va
Brand 3,17038723,23.07,1/2/2024,2024-01-02T12:42:19.620000,7320,2994727,1.93e+18,Category 6,Us,Tx
Brand 2,3795841,10.49,1/2/2024,2024-01-02T20:12:47,1045,753831,8.5e+18,Category 8,Us,Tx
Brand 3,17038153,11.44,1/2/2024,2024-01-02T00:32:21.567000,10497,2994597,4.32e+18,Category 8,Us,Va
Brand 3,17039817,8.8,1/2/2024,2024-01-02T19:27:30.557000,6857,2994946,6.97e+18,Category 5,Us,Pa
Brand 2,3795675,31.07,1/2/2024,2024-01-02T17:37:27,371,753794,2.14e+17,Category 8,Us,Tn
Brand 2,3795773,12.58,1/2/2024,2024-01-02T19:13:26,649,753817,3.43e+18,Category 8,Us,Pa
Brand 1,1372850,2.89,1/2/2024,2024-01-02T20:05:54,462,1230152,2.37e+18,Category 8,Us,Wv
Brand 4,17038158,24.2,1/2/2024,2024-01-02T00:46:28.130000,16080,2994599,4.69e+18,Category 8,Us,Tx
Brand 2,3794226,120.96,1/2/2024,2024-01-02T00:44:41,1098,753536,8.95e+18,Category 8,Us,Wy
Brand 6,17039106,5.96,1/2/2024,2024-01-02T15:32:07.857000,19831,2994829,2.95e+18,Category 8,Us,Pa
Brand 3,17038654,1416.3,1/2/2024,2024-01-02T11:51:58.110000,3987,2994705,5.56e+18,Category 9,Us,Va
Brand 2,3794480,0.0,1/2/2024,2024-01-02T08:33:23,1156,753568,6.69e+18,Category 8,Us,Wa
Brand 2,3794191,10.59,1/2/2024,2024-01-02T00:33:04,73,753530,4.47e+18,Category 3,Us,Ut
Brand 1,1372941,3.77,1/2/2024,2024-01-02T21:15:47,1128,1230170,6.92e+17,Category 8,Us,Wi
Brand 1,1371927,26.81,1/2/2024,2024-01-02T10:51:13,890,1229991,4.16e+18,Category 8,Us,Wv
Brand 2,3795352,4.46,1/2/2024,2024-01-02T15:24:29,145,753743,6.71e+18,Category 3,Us,Tx
Brand 3,17039966,4.2,1/2/2024,2024-01-02T21:28:24.780000,510,2994988,1.48e+17,Category 5,Us,Ny
Brand 3,17038854,9.67,1/2/2024,2024-01-02T13:49:39.947000,702,2994770,6.34e+17,Category 8,Us,Ky
Brand 3,17040122,27.59,1/2/2024,2024-01-02T23:15:14.210000,1124,2995016,1.55e+18,Category 8,Us,Va
Brand 3,17040057,12.8,1/2/2024,2024-01-02T22:49:47.977000,2830,2995004,4.21e+17,Category 6,Us,Wa
Brand 3,17038894,8.39,1/2/2024,2024-01-02T14:02:13.417000,2075,2994776,4.93e+18,Category 4,Us,Ny
Brand 1,1371582,26.6,1/2/2024,2024-01-02T01:21:28,543,1229923,4.24e+18,Category 4,Us,Wa
Brand 2,3796322,17.92,1/2/2024,2024-01-02T23:48:43,1374,753902,6.67e+18,Category 8,Us,Pa
Brand 7,17038763,11.19,1/2/2024,2024-01-02T12:56:54.997000,19361,2994740,3.65e+18,Category 5,Us,Wa
Brand 2,3795266,26.5,1/2/2024,2024-01-02T14:54:50,924,753730,2.56e+18,Category 8,Us,Wi
Brand 1,1373055,19.94,1/2/2024,2024-01-02T23:23:46,308,1230191,1.11e+18,Category 8,Us,Wv
Brand 2,3794227,81.0,1/2/2024,2024-01-02T00:44:41,1369,753536,8.95e+18,Category 8,Us,Wy
Brand 4,17040130,19.66,1/2/2024,2024-01-02T23:26:08.860000,15621,2995018,6.13e+18,Category 8,Us,Wy
Brand 6,17038875,24.78,1/2/2024,2024-01-02T13:49:39.947000,20321,2994770,6.34e+17,Category 8,Us,Ky
Brand 2,3796139,0.56,1/2/2024,2024-01-02T21:57:54,922,753875,4.6e+18,Category 8,Us,Wa
Brand 3,17039008,13.85,1/2/2024,2024-01-02T14:51:32.880000,4747,2994802,4.73e+18,Category 6,Us,Tx
Brand 3,17039657,127.9,1/2/2024,2024-01-02T18:18:05.403000,4509,2994916,5.38e+18,Category 2,Us,Va
Brand 2,3795039,31.1,1/2/2024,2024-01-02T13:20:13,1294,753682,3.79e+18,Category 8,Us,Wi
Brand 3,17039098,10.41,1/2/2024,2024-01-02T15:30:26.853000,3377,2994826,4.61e+18,Category 8,Us,Va
Brand 1,1372663,36.92,1/2/2024,2024-01-02T17:57:52,861,1230124,5.52e+18,Other,Us,Oh
Brand 1,1371847,59.14,1/2/2024,2024-01-02T10:07:59,1084,1229978,4.03e+18,Category 8,Us,Oh
